edge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,label
1,-0.060269363,-0.1354576,-0.04882702,0.13672313,-0.1568335,-0.059236925,0.08231972,-0.31449178,-0.006400291,-0.026164124,-0.18769926,0.1307412,0.15355848,-0.027421936,-0.0024299682,-0.23545477,-0.19533885,-0.17296138,0.2212646,0.15216698,0.12180844,-0.052480586,-0.06922048,0.09142091,0.04846426,0.07593947,-0.11619103,-0.04688936,-0.09532133,0.019462122,-0.025830893,0.08282153,-0.16774099,-0.073857985,-0.04857307,0.037258826,0.033220895,0.10005386,0.07099389,-0.18459213,-0.08539857,0.09051781,-0.02730794,0.031356998,-0.08832796,0.14998847,-0.21910594,-0.020386612,-0.027203137,-0.05097562,-0.24753915,-0.0014310783,0.09543425,-0.21115446,-0.0885338,-0.09193613,0.04333479,0.0032154727,-0.17846227,-0.0393214,0.07023787,-0.10740431,-0.04090335,0.2864159,0.08039677,-0.10353341,-0.13051389,0.026264574,0.0049985684,0.015798407,0.066676185,-0.120008074,-0.11332408,-0.23644531,-0.15104266,0.008131969,0.08744543,-0.019803042,0.039515354,-0.056546457,-0.034593314,-0.19382909,-0.12825136,-0.045815416,0.04184718,0.23492761,0.07016683,-0.06758643,-0.083263285,-0.043648425,0.0019319376,0.028292893,-0.012873517,0.022704137,-0.06158987,0.1189855,-0.011117922,-0.049019393,0.12755822,0.026331767,0.015007356,0.16982217,-0.08053732,0.007494487,0.07268565,0.11760997,0.28706837,0.12894012,0.1791211,0.11580719,-0.14232257,0.06396046,-0.10617114,0.08169929,-0.38999814,0.087961204,0.059581313,-0.096429065,-0.13125308,-0.020981872,-0.001634469,0.039955232,-0.1728512,0.042796288,0.027021103,-0.05824843,-0.109548956,-0.08271538,1
2,-0.06347738,-0.08531888,0.034028344,-0.034536716,0.1006082,0.047997966,0.048340157,0.057117116,0.06800026,-0.059309475,-0.039488316,-0.034566805,0.24736454,-0.06026125,-0.07416339,-0.07142172,-0.2693564,-0.14851357,-0.14793386,0.08647495,0.19121227,-0.106146865,0.11547136,0.22246084,-0.12363152,0.14147115,-0.09027549,0.18777631,0.10004064,-0.08448385,0.1435823,-0.030751284,-0.034588836,0.009610614,-0.12033929,0.0074493284,0.05360562,-0.08778139,0.25877687,-0.17515019,-0.16962622,0.14403214,0.054050326,0.013849455,-0.28322265,-0.03598962,0.0641438,-0.116107024,0.014502865,0.051287778,0.029430127,-0.009621315,0.09587777,-0.049959082,0.016006775,0.046179134,-0.1392542,-0.07280036,-0.17786579,-0.05221828,0.09881323,-0.114775054,-0.08523347,0.19289236,-0.18065867,-0.04708938,-0.0953238,0.108479634,-0.00695615,0.09444575,-0.16216598,-0.008690563,0.23631899,-0.08206281,-0.32748634,-0.006940879,0.13109277,0.1295898,-0.033051133,0.14241189,-0.20597398,-0.28016126,0.14316049,-0.10509378,0.017405016,0.18822117,0.1017723,0.052882206,0.15115894,-0.036465816,0.013670138,0.1073971,-0.10476756,-0.10229809,-0.008643079,0.26348695,0.09500895,-0.16675833,-0.20129092,-0.0062390855,0.12277271,0.04625339,0.11247593,-0.0013502855,0.26938477,-0.08148498,0.15709028,-0.074837856,0.055506296,0.07906983,-0.0207648,0.07299323,0.029972494,-0.17061853,-0.12531866,-0.13519661,-0.05371462,-0.050519537,-0.12360147,0.10320865,-0.096129835,-0.16280212,0.057329036,0.12731604,0.051026706,0.037596364,0.006617869,-0.08325542,1
3,0.027962428,-0.12951316,-0.06138946,-0.002964484,-0.025154926,-0.09491241,0.16762073,-0.03168088,-0.011419099,0.18677111,-0.0534985,0.14385535,-0.07681828,-0.09719722,-0.03015899,-0.07514535,-0.32002777,-0.04170695,-0.12249711,0.042429388,0.17690997,-0.083630666,0.041228425,0.2557816,0.12871397,0.07014921,0.072497375,-0.088510334,-0.016079105,0.1366044,0.1425279,0.019654026,-0.27581334,-0.09062774,0.05972183,0.18925256,0.109253466,0.03603015,0.19123732,-0.042273466,-0.04456799,0.08388949,-0.08568771,-0.16284516,-0.21761101,0.07369951,0.045419436,-0.014336237,0.043006916,-0.00137161,-0.05059513,-0.048046295,-0.16875647,-0.059063017,0.06344091,-0.14751679,0.010602395,-0.18216512,-0.07056854,-0.0059747547,-0.13747473,-0.078766584,0.05250604,0.2810334,-0.115722075,-0.15191399,0.010938806,0.043578647,0.11723701,0.09521766,0.06647045,0.25484666,0.026435848,-0.12543581,-0.11417513,0.08323208,0.101925716,-0.026981816,0.033891425,0.091434605,-0.14449643,-0.07431802,0.03707019,-0.21578299,-0.28586352,0.059495598,0.1377621,0.013388527,0.12996542,-0.120936476,0.1276032,0.0487583,-0.018141737,-0.1328767,-0.14404376,0.081867926,0.053972848,-0.041981813,-0.020230064,0.027267916,-0.017856186,0.1354437,-0.15094154,0.048537023,0.16975811,0.07528913,0.25024673,-0.12499073,0.21788707,0.029635513,0.023372123,-0.022567743,-0.07723233,-0.084156714,-0.3499591,0.037884377,-0.18574041,0.0003842827,0.16572934,-0.027571604,-0.005573858,-0.26547033,-0.14627345,-0.072032884,-0.010707656,0.11824781,-0.03799708,0.016564606,1
4,0.0805335,-0.114924505,-0.04137757,-0.017082296,-0.13543944,-0.18156014,0.09142569,0.10808941,-0.04518462,0.018206393,-0.119046755,0.14858444,0.028021416,-0.102162205,-0.011606868,-0.10348881,-0.35354793,-0.09808769,0.1105153,0.12965922,0.24213743,-0.054190163,0.012230702,0.07561407,0.12236085,0.12766887,-0.0922194,-0.06760653,0.08949234,-0.07064891,-0.008584522,-0.14491908,-0.056060832,0.029804949,-0.24007538,-0.12433817,0.07878074,0.15322937,-0.041288216,-0.06022682,-0.11478292,0.009911473,0.093613245,0.08400226,-0.03599805,0.1958575,0.04977505,-0.07713912,-0.24923229,-0.04401265,0.028017934,0.09634225,-0.018220076,-0.1001325,-0.12601103,0.070581004,0.108035274,0.010899274,-0.063513495,0.006838138,0.055125367,-0.07170039,-0.029255174,0.21764694,-0.06768341,-0.071108766,-0.12838724,0.17037666,0.16272625,0.15634999,-0.023934253,0.017943979999999998,0.08580332,-0.118666716,-0.029477002,0.17707488,0.22682601,-0.081679046,0.067344904,0.06701917,-0.037862606,-0.12486081,-0.13779461,-0.19758277,-0.04515893,0.09529083,0.14797007,-0.04795668,-0.052448973,0.044388555,0.16433863,0.08224403,-0.03986784,-0.18807204,-0.00016723802,0.15067075,0.0060563344,-0.18977979,0.05653782,0.12592316,-0.18521626,0.008890329,-0.12704839,0.03732592,0.25565338,0.17023204,0.009296882,-0.018431047,0.112913735,0.042200617,0.12888522,0.017532088,0.027338864,-0.15359598,-0.263664,-0.014139535,-0.09214076,0.11132919,-0.13521098,-0.10957779,0.12171609,0.00044676798,-0.07765942,-0.05318334,0.11267594,-0.14931944,-0.30367967,0.0030559523,1
6,-0.13864748,-1.1524833e-05,0.003139187,-0.12162387,0.036785055,0.13620563,0.12611997,0.20484205,0.024580754,0.069976665,0.056465484,-0.040251892,0.056464933,-0.03985737,-0.093804926,-0.20143695,-0.11017222,-0.14503783,0.06808533,-0.003921834,0.016315045,-0.05193698,0.01251212,0.047847547,0.16124788,0.04506921,0.10410488,-0.08070981,0.18035388,0.013401806,-0.11492702,-0.100841105,-0.13774778,0.07458078,-0.02930548,-0.074539736,0.09073339,-0.01807397,-0.048627827,-0.14444156,-0.049774274,0.22946067,0.26757276,-0.017918281,-0.15764715,0.10456033,-0.009884401,-0.10262819,0.10295721,-0.14725544,-0.026468644,0.022579271,-0.007344998,-0.07122425,-0.010885164,-0.135224,-0.14270818,-0.21895272,-0.22382991,-0.059849408,0.042677622,-0.10510568,-0.06631355,0.018822925,0.032973137,-0.014291865,-0.05359176,-0.021621719,-0.047025595,0.14075188,-0.080361076,0.049810495,0.23337029,-0.09404971,-0.086165845,-0.080784366,-0.036254674,0.09078367,0.0817241,-0.011697772,-0.036388237,-0.0030042457,-0.105999686,-0.1950929,-0.15731944,0.20196752,0.19207713,-0.07434094,-0.1773329,-0.017872108,0.116697274,0.074151926,-0.018180612,-0.012129039,-0.17556165,0.07785519,-0.0040025674,-0.24481042,0.1336149,0.10558113,-0.021612756,0.07691717,-0.2318624,-0.065602355,0.2234129,0.16259134,0.2922053,0.044571422,0.14747068,-0.0042498326,0.10600959,-0.06324838,0.028595848,0.03105936,-0.3152933,0.031385943,-0.14659776,-0.09968282,-0.12311588,0.09022713,0.011092577,-0.08396832,-0.17117892,0.03923614,-0.02751171,-0.11888313,-0.014427104,0.028521875,1
7,0.041183487,0.09810892,-0.040003028,-0.15923871,0.002123545,0.084838934,0.13792926,0.06597454,-0.014995626,0.060494617,-0.27198115,-0.0916854,-0.0032558003,-0.06433375,0.13871774,-0.0756936,-0.017442025,-0.08952768,-0.12980913,-0.10417624,0.15802604,-0.19904791,-0.13071808,0.100349165,0.17654732,0.20046425,-0.14052285,-0.0009127029,-0.043657694,0.0653717,0.22999845,-0.10865985,0.009986922,-0.027869154,-0.23191325,-0.111835934,0.14125563,0.011682232,0.08050565,-0.1722131,-0.17807515,-0.0055621667,0.004855544,0.10778294,0.03187154,0.1779518,-0.10237142,-0.04687527,0.14495473,0.088795036,-0.21062742,0.09122613,0.015997946,-0.061071675,0.084258415,-0.012714395,0.04777513,-0.045453496,-0.12997346,-0.0020616543,0.06877134,-0.119062304,-0.03315717,0.22449695,0.008719411,-0.08343355,-0.23960619,0.21542443,-0.0056674858,0.18256928,-0.05314546,0.07220996,0.026768275,0.08922638,0.08398373,0.0022074732,-0.14491288,0.0783157,0.10803934,0.12150034,0.12992528,-0.024559256,0.019088054,-0.09063875,-0.0010548519,0.26195246,0.10929082,-0.086157225,0.06616629,0.017068738,0.1206961,0.11192664,0.042759903,-0.16630617,-0.1687415,0.07427884,0.10840495,-0.1899531,0.061490122,-0.017026277,-0.10764136,0.21783896,0.06119478,0.1617018,0.2653527,0.14669587,0.16198252,0.07844672,0.37880367,0.093913585,0.068425335,-0.0021353734,0.030506702,0.0065736244,-0.24473053,-0.016043784,-0.21602902,0.034680177,-0.027209451,-0.20922148,-0.11669907,-0.08727004,-0.03939604,-0.072226234,0.050035704,0.19949128,0.038964733,0.010732993,1
8,-0.114449464,-0.1750003,0.103585355,-0.048794143,0.07047405,-0.028410524,0.24260324,0.062160764,0.08196738,0.0652087,-0.19333085,0.14293705,0.11124095,-0.08423384,0.005913787,-0.05045184,-0.15693866,-0.24591127,0.047990795,0.03844947,0.13983361,-0.20292214,0.23132855,0.1405849,0.054261375,-0.035817996,0.0075550284,-0.06082344,0.048944265,0.039715994,0.090552665,0.17981842,0.026546665,0.008337301,-0.045756724,-0.02506285,0.120261885,-0.0035364614,0.18135016,-0.119159,-0.20384127,-0.071325734,-0.16706064,0.08163072,-0.06612382,-0.034533896,-0.025513778,0.004247154,0.08976951,0.096481964,-0.20338653,0.038745012,0.16172102,-0.018820828,0.0064259954,-0.030968772,-0.08164932,-0.057505913,-0.014068013,-0.12574296,0.15203966,-0.07858947,0.05372331,0.18378112,-0.13382775,0.1282254,0.042179547,0.021295512,-0.03210778,0.031077059,-0.039734274,0.12985227,0.16487762,-0.122981206,-0.051341824,-0.040717173,0.17652671,0.05213388,0.039418165,0.06767424,0.03173906,-0.3062606,0.22016895,-0.19198473,-0.112583935,0.034433264,0.14743945,-0.05327105,0.08498451,0.066962086,0.14061017,-0.064721614,0.011554187,-0.02969001,-0.109976396,0.19426002,0.097704045,-0.08202927,0.116213076,0.06809341,-0.06973588,0.07905627,-0.025725042,0.11897258,0.28303835,0.09225828,0.27279368,-0.004278158,-0.050972614,0.14376053,0.044933353,-0.08728834,-0.04813431,0.016384598,-0.37497848,0.049372196,-0.03738811,0.052695274,0.033128805,0.014869052,-0.012254994,-0.1005436,-0.053973615,0.09426879,-0.0004717179,-0.05457161,0.0002479673,-0.060366623,1
9,-0.0127901705,-0.049563125,0.010848474,-0.060941685,-0.08111781,-0.17624147,0.07829586,-0.10115247,-0.052240245,0.03439639,-0.035043865,0.14431953,0.10631586,-0.11766329,-0.011548177,-0.15108997,-0.09633054,-0.080658145,-0.0806817,0.023656912,0.2068728,0.0767204,-0.11120808,0.0014651467,0.105127774,0.16468377,-0.042416304,-0.040173136,0.05459644,0.07128117,0.0032676966,0.006651381,-0.039309658,-0.074180536,-0.06261512,0.06343798,0.03681431,0.11337885,0.13474302,-0.25836712,-0.023061287,-0.08601816,-0.045383733,0.20055914,0.03940634,0.012865465,0.06478901,-0.050085045,-0.19435415,-0.06753222,-0.18465003,0.15256847,-0.12178203,0.0390876,0.039021637,-0.019269018,0.013660619,-0.1024536,-0.05289053,-0.1761084,0.08797611,-0.21232699,0.07192082,0.20169058,-0.03540046,-0.13058177,-0.14619116,0.22415562,-0.0010595629,0.23980927,-0.03136711,0.19307517,-0.008629029,0.020725824,0.024625968,-0.10892188,0.02938577,-0.062568195,-0.038854036,0.26601315,-0.02327199,-0.21340357,-0.15563789,-0.38435188,-0.18598913,0.25714082,0.13755013,-0.0406987,-0.027495587,-0.021395031,0.026325908,-0.00362031,-0.07195432,-0.11183101,-0.076524295,0.1098308,0.099138245,-0.15676916,0.027475988,0.104921915,-0.1875955,-0.07800379,-0.14953591,0.1539311,0.21457231,-0.025115324,0.042211115,-0.038991403,0.0037520982,0.042732406,0.028250871,0.015955117,0.035846237,-0.032345306,-0.12756462,-0.0488141,-0.17157912,-0.043697245,-0.111295804,0.11878873,-0.045863118,-0.1587443,-0.15107432,-0.074531324,0.09555953,-0.13185686,-0.2320155,-0.12132123,1
10,-0.12169348,-0.108389586,-0.054200515,-0.021281252,-0.092360176,0.10766188,0.051873486,0.036939476,-0.14177272,0.023756146,-0.12280064,0.09085722,0.044512175,0.10763008,-0.05244009,-0.10027851,-0.2591521,-0.010853432,0.11688643,0.098831296,0.08656124,-0.13876155,0.17204943,0.14962426,0.10059153,0.06373273,0.16187719,-0.12518315,0.103384025,-0.132406,0.04382229,0.07200892,-0.013938222,0.08290166,-0.07091726,-0.07948732,0.24933507,0.031183064,-0.0082718,-0.1620541,-0.109545454,0.031649195,0.06450261,0.24809825,-0.03986601,0.0033313867,-0.038733453,0.017035829,0.044849355,-0.09370815,-0.08947059,-0.08024511,-0.023832625,-0.2832424,-0.0025267121,-0.004260794,0.062379573,-0.064498134,-0.09738255,-0.033714566,0.004895497,-0.12308694,-0.0931877,-0.058532752,-0.04651562,0.034143627,-0.10544651,0.033964634,-0.07306275,0.03417743,-0.059901755,0.14196347,0.10206637,-0.06283692,0.10775279,0.066495985,0.06342983,0.122102536,-0.16125758,0.1964114,-0.06878127,-0.19436374,-0.13368471,-0.1945736,-0.17793763,0.30648425,0.13948677,-0.015697483,-0.03493397,0.02318121,0.16155101,0.0057300925,0.036895305,0.09039572,0.07673789,0.10206116,0.065299794,-0.15699686,0.02344148,0.048362166,0.025575042,-0.099940635,-0.04390898,0.039132703,0.1966306,0.062307443,0.27731523,0.11511582,0.100199305,0.09250338,0.0070698787,-0.08390379,-0.013345967,-0.036016993,-0.2667706,0.065135665,-0.097482726,0.057451375,-0.0050890786,-0.025099987,-0.14365186,-0.21809849,0.018983366,0.085965514,-0.05523335,0.056888662,-0.09853528,0.068018615,1
11,-0.1409263,-0.06843019,-0.047663078,0.095283106,0.12453869,-0.08316141,0.08494392,0.19313195,-0.036021817,0.042003818,0.013400039,-0.0031817716,0.036076035,0.032779448,-0.0070550176,-0.029267924,-0.20262581,-0.26975963,-0.06542435,-0.12391334,0.26723325,-0.04667953,0.048247922,0.16419017,0.11494914,0.10040236,0.051760565,-0.018190414,0.048026506,-0.1351448,0.0731729,0.035320774,-0.022686878,-0.10084202,-0.11398454,-0.085884884,0.05604457,0.13418481,0.09174382,-0.06092752,-0.04732958,-0.10110331,0.11492538,-0.07656395,-0.15311782,0.10633302,0.07801152,-0.007168777,-0.04378413,-0.09806305,-0.0831157,0.21865739,-0.025733517,-0.19167568,-0.06667846,-0.040673148,-0.100452304,-0.23750833,-0.07407817,-0.19462082,0.10701871,-0.12023444,0.11283858,0.12991968,-0.0935402,0.008379705,-0.16241357,0.05244197,0.014108015,0.095825166,0.0461358,0.099848755,0.10027433,-0.051504645,0.066292,-0.1655486,0.17900279,0.0017500354,0.07708243,0.08986356,-0.113577336,-0.078687415,0.095173076,-0.1469692,-0.1793981,0.06132068,0.016036423,-0.063266724,0.046604343,0.077967405,-0.034937985,0.012862887,0.16041297,-0.06937008,-0.0024146377,0.11176174,0.07009981,-0.049167387,-0.014576974,0.019195372,-0.09557671,0.13787024,-0.040758096,0.097865514,0.37010238,0.048765264,0.2112108,-0.20429456,0.1363958,0.10931343,-0.011894182,0.024695653,-0.081685156,-0.057474002,-0.49136937,-0.052491073,-0.10883071,-0.106253736,0.061000433,0.067080244,0.0119457785,-0.1156405,-0.14192206,0.06759139,0.026517848,0.025412994,-0.22039433,-0.06201412,1
13,0.20502608,0.005914432,-0.07562968,-0.0680469,-0.10920242,-0.07170696,0.080471836,0.00842846,0.053523418,0.016688997,-0.08095164,0.009208913,0.016960382,-0.078008816,-0.09593442,-0.04945481,-0.056529928,-0.109447144,-0.0065330616,0.018585145,0.14987189,0.029389152,0.13942178,0.115864284,-0.026806181,0.10068252,-0.052267835,0.017056184,-0.015202785,-0.035621624,0.05818389,0.024498617,-0.13056776,-0.019799063,0.0123421,-0.18693289,0.15880722,-0.069027424,0.08282243,-0.100529626,-0.16313154,0.14074928,-0.043377303,0.032998696,-0.15075685,0.1774852,-0.07370893,-0.039354198,0.0051572854,0.05530122,-0.087254554,0.14438486,0.02793383,-0.23765805,0.06041162,-0.012022203,0.0004164178,-0.12606144,-0.07445511,-0.10145007,0.10078082,-0.09540444,0.06099583,0.1533151,-0.17128043,-0.08747663,-0.12933296,0.021947889,-0.09661031,0.101329766,0.0206803,0.016840816,0.038565814,-0.22547758,0.11103146,-0.10564849,0.08633914,0.08980334,0.09734093,0.034270804,-0.084380776,-0.14509358,-0.14421363,-0.29428458,-0.06512916,0.15001352,0.115964524,-0.21906197,-0.14215216,0.026720999,0.13126464,-0.053175684,-0.013698277,-0.12817055,0.08527025,0.20923962,0.0006396294,-0.14835466,0.029538855,0.1419225,-0.055963688,0.2499414,-0.00013233541,0.09357059,0.22969334,0.02125854,0.26191992,0.03323009,0.09220987,0.075328745,-0.05159125,-0.012252029,-0.0004766627,0.0061334977,-0.33088934,0.0008035887,-0.13529016,-0.029301422,-0.07179342,-0.06474094,-0.13037565,0.19664827,0.043829273,-0.109805346,0.0179277,0.13162598,-0.09257843,-0.03623516,1
14,0.0035040486,-0.08386411,-0.046422273,-0.026476534,0.017675811,0.090841234,0.18968937,0.06322017,-0.04487546,0.2507982,0.13279693,0.09574526,0.054943684,0.016421197,-0.016244559,-0.10943047,0.08620478,-0.17588317,-0.07668668,-0.084749214,0.27231783,-0.038335823,0.21016142,0.1889871,0.014191788,0.16923174,0.0900016,-0.050933927,-0.1187092,0.14581163,-0.015436099,0.04562155,-0.15903014,-0.06445732,0.0029755381,-0.068812795,0.06369674,-0.06453523,0.10101201,-0.2383008,-0.11418799,0.07420824,0.14570613,0.05499106,-0.060024913,0.13223763,0.08256912,-0.0002582914,-0.05592709,-0.07755005,-0.13304919,0.022608506,-0.19214888,-0.039304603,-0.06793049,-0.12945384,-0.012560983,-0.069012605,-0.03173288,-0.038354374,0.16954917,-0.105949126,0.022543887,0.02740554,-0.033169277,-0.025689675,-0.09045568,0.17084081,-0.11978219,0.009598797,0.010217852,0.1653048,0.050326344,-0.02418203,0.13937359,0.058870744,0.018196894,-0.02784076,-0.03198918,0.20704924,0.0153507525,-0.09832115,0.15718049,-0.17274791,-0.068853445,0.14075203,0.16521057,-0.05791532,0.05393373,-0.0605714,0.06674253,0.019169185,-0.02221214,0.04358702,-0.029377595,0.24303935,0.1459484,-0.1494711,0.046899527,0.18390113,-0.26173827,0.072036706,-0.11005789,0.11283642,0.3004218,0.054280087,0.16185585,0.13892809,0.14889719,0.12852201,-0.10380843,-0.064684354,0.02184277,-0.026877753,-0.019210236,0.01944357,-0.14761837,-0.17866537,-0.09583813,-0.054393254,0.056900524,-0.23655552,-0.013026748,-0.09866903,0.040720385,-0.21401161,-0.0889632,-0.10656999,0
